uniqueid,receipt_number,sku,description
134940,65779,1341496,ING - Blueberry Puree Drum
134955,65783,391778,FG Simply Rasp Lem 1.54L
134958,65786,391777,FG Simply Limeade 1.54L PLBT 1LS6 CA
134961,65789,179678,FG - Simply with Pulp - 6x2.63L
134971,65792,YPCHEPCDN,CDN CHEP PALLET
134982,65794,1641973,CAP 43MM BRY LIFT PEEL LNR SIMPLY ORG
134984,65796,2047966,Aseptic Orange Pulp Drum
134985,65796,YPCHEPCDN,CDN CHEP PALLET
134987,65798,1235543,NFC Lemon Juice
134988,65799,288078,FG - Simply Lemonade 6x2.63L
134989,65799,288079,FG - Simply Rasp Lemonade 6x2.63L
134990,65799,YPCHEPCDN,CDN CHEP PALLET
134992,65801,179677,FG - Simply Pulp Free 6x2.63L
134995,65804,1453505,Chep Pallet
134999,65808,369593,SIMPLY APL J100 CHL 52OZ(1.53L)PLBT 1LS6
135000,65809,2050029,PET Preform 43mm 55.5g New Resin
135003,65811,1453505,Chep Pallet
135004,65811,1466200,SHP- 2.63L SIMPLY GENERIC
135007,65814,376581,Simply Orange W/Pulp 1.54L
135010,65817,1548940,ING - Lime Pulp Drum
135011,65817,1808094,LEMON  PULP  180 kg  - DRUM
135012,65818,2047966,Aseptic Orange Pulp Drum
135013,65818,1453505,Chep Pallet
135014,65819,1840795,NFC Peach Puree Yellw Cling
135015,65819,1232850,ING - Raspberry Puree Seedless
135016,65819,1844825,"ING-PEACH JUICE, SUN MET"
135017,65819,1847094,"ING-PEACH JUICE, INDULLEIDA"
135018,65819,1847094,"ING-PEACH JUICE, INDULLEIDA"
135019,65819,2010490,ING-PEACH PUREE
135020,65819,1235513,PERSIAN LIME JUICE PAST
135022,65821,391684,Simply Watermelon 1.54L
135024,65823,376582,Simply Orange W/Calcium 1.54L
135031,65830,179677,FG - Simply Pulp Free 6x2.63L
135033,65832,179678,FG - Simply with Pulp - 6x2.63L
135034,65833,288078,FG - Simply Lemonade 6x2.63L
135038,65837,288079,FG - Simply Rasp Lemonade 6x2.63L
134874,65676,70004,Almond Fresh Chocolate 6x1.89L
134875,65676,YPCHEPCDN,CDN CHEP PALLET
134876,65676,73001,CASHEW GABLE 6X1.89L ORIGINAL
134960,65788,70003,Almond Fresh Unsweetended 6x189 Gable
134986,65797,70001,Almond Fresh 6x1.89 Gable
134991,65800,70002,Almond Fresh Vanilla 6x1.89L Gable
134993,65802,70005,Almond Coconut 6X1.89
134996,65805,70004,Almond Fresh Chocolate 6x1.89L
134997,65806,42792,Happy Planet Oat Original 6x64oz
134998,65807,81102,Oat Gable 6x1.75L Unsweetened
135005,65812,81104,Oat Gable 6x1.75L Unswt Vanilla
135006,65813,81105,Oat Chocolate
135008,65815,42793,Happy Planet Oat Vanilla 6x64oz
135009,65816,81104,Oat Gable 6x1.75L Unswt Vanilla
135021,65820,8701,So Nice Organic 6X1.75L Unsweetened
135023,65822,8703,So Nice Original 6x1.75L Gable
135025,65824,8713,So Nice Vanilla 6x1.75L Gable
135026,65825,15002,SUNRISE UNSWEETENED US
135027,65826,10010,SUNRISE UNSWEETENED 1.89- CDN
135028,65827,10020,SUNRISE LITE 
135029,65828,15001,SUNRISE SWEETENED US 1.89L
135030,65829,10011,SUNRISE SWEETENED 1.89L
135032,65831,8781,SN Organic Almond Unsweet 6X1.75L
135035,65834,8780,So Nice Organic Almond Original
135036,65835,70003,Almond Fresh Unsweetended 6x189 Gable
135037,65836,70006,Almond Unsweetened Vanilla 6 x 1.89L  Gable
