"company_code","warehouse","receipt_number","receipt_type","receipt_status","order_number","reference_1","reference_2","reference_3","reference_4","supplier_id","supplier_name","supplier_address1","supplier_address2","supplier_address3","supplier_city","supplier_state","supplier_country","supplier_zip","contact_name","contact_phone","contact_fax","contact_e_mail","consignor","carrier_id","carrier_service_level","carrier_account_num","carrier_shipping_cost","carrier_shipping_charge","carrier_declared_value","carrier_cod_value","carrier_cod_type","carrier_waybill","carrier_appoitment","carrier_instructions","carrier_total_pcs","shipping_net_weight","shipping_gross_weight","sea_container_seal","sea_container_number","sea_container_type","sea_container_size","document_date","expected_date","date_received","receipt_start_date","receipt_end_date","date_checked","date_inspected","import_date","last_export_date","close_date","received_by","checked_by","qa_inspector","qa_inspection_tag","qa_minutes","receiving_minutes","checking_minutes","skids_provided","number_of_active_rf_units","skid_type_provided","note_from_customer","note_to_receiver","note_from_receiver","note_from_checker","note_from_qa","location_id","import_batch_number","check_shipment_flag","check_qa_flag","cancel_flag","delivery_rejected_flag","complete_receipt_flag","ready_for_export_flag","export_complete_flag","validate_receiving_flag","uniqueid","num_pallets_received","num_cases_received","processed","IsHistory","IsBackOrder","work_order_auto_pick_complete_flag","whs_transfer_flag","whs_transfer_from_warehouse","user_0","user_1","user_2","user_3","user_4","user_5","user_6","user_7","user_8","user_9","inbound_doc_printed"
"01",MM,"65713",REGULAR,Complete,"2200543741",,,,,"",Walmart midpoint return,"","","","","","","","","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-27 00:00:00,2020-09-03 00:00:00,2020-08-27 00:00:00,2020-08-27 11:47:00,2020-08-27 11:51:00,,,2020-08-27 11:34:00,,,harman,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70253,2,2,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65719",COOLER,Complete,"2200543742",,,,,"",WALMART MISS RETURN MIDPOINT,"","","","","","","","","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-27 00:00:00,2020-09-03 00:00:00,2020-08-27 00:00:00,2020-08-27 18:29:00,,,,2020-08-27 16:59:00,,,felix,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70259,1,1,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65819",REGULAR,Complete,"096964",,,,,"",I.C.S,"","","","","","","","","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-09-11 00:00:00,2020-09-11 00:00:00,2020-09-11 00:00:00,2020-09-11 14:03:00,2020-09-11 14:10:00,,,2020-09-11 13:54:00,,,freeman,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70360,16,59,0,0,0,0,0,"","","","","","","","","","","",0
"01",ICJ,"61755",COOLER,Entered,CDC-20190704-02,,,,,"1156",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,"","","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2019-07-04 00:00:00,2019-07-04 00:00:00,,,,,,2019-07-04 16:04:00,,,,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,66209,0,0,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65809",REGULAR,Complete,"4508552969",,,,,"",SOUTHEASTERN,"","","","","","","","","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-09-10 00:00:00,2020-09-10 00:00:00,2020-09-10 00:00:00,2020-09-10 14:00:00,,,,2020-09-10 13:55:00,,,freeman,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70350,1,50,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65811",REGULAR,Complete,"4508549513",,,,,"1151",Norampac,"655 Creditstone Rd","","",Vaugham,ON,Canada,L4K 5P9,"","905 760 3900","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-09-10 00:00:00,2020-09-10 00:00:00,2020-09-10 00:00:00,2020-09-10 14:00:00,,,,2020-09-10 13:59:00,,,freeman,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70352,2,19214,0,0,0,0,0,"","","","","","","","","","","",0
"01",ICJ,"64775",COOLER,Complete,CDC20200521,,,,,"1156",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,"","","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-05-21 00:00:00,2020-05-21 00:00:00,2020-05-21 00:00:00,2020-05-21 12:46:00,2020-05-21 12:48:00,,,2020-05-21 12:42:00,,,joban,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,69304,1,1,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65798",COOLER,Complete,"200881526",,,,,"",Evercold Storage,"","","","","","","","","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-09-08 00:00:00,2020-09-08 00:00:00,2020-09-08 00:00:00,2020-09-08 15:17:00,2020-09-08 15:29:00,,,2020-09-08 15:14:00,,,jeff,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70339,12,44,0,0,0,0,0,"","","","","","","","","","","",0
"01",MM,"65667",COOLER,Complete,"90341",,,,,"1146",First Choice Beverage,"265 Courtneypark Dr. E.","","",Mississauga,ON,CAN,L5T 2T6,"","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2020-08-21 00:00:00,2020-08-21 00:00:00,2020-08-21 00:00:00,2020-08-21 10:10:00,,,,2020-08-21 07:54:00,,,chen,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,70207,91,91,0,0,0,0,0,"","","","","","","","","","","",0
"01",ICJ,"62610",regular,Complete,"518956",,,,,"",mm,"","","","","","","","","","","","","","","",0.00,0.00,0.00,0.00,Cash,"","","",0,0.00,0.00,"","","","",2019-09-24 00:00:00,2019-09-24 00:00:00,2019-09-24 00:00:00,2019-09-24 20:16:00,,,,2019-09-24 19:56:00,,,felix,,,,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,1,67094,2,2,0,0,0,0,0,"","","","","","","","","","","",0
